,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
307,IIFL Securities,306.50,"₹9,306Cr",28.41%,13.19,19.98,22.74,3.71,1.00%,0.37,1.441741179732435,-14.696863736618429,30.32%,41.53911855141783
308,Healthcare Global Enterprises,651.45,"₹9,279Cr",4.81%,250.21,65.48,2.63,10.04,0.00%,1.99,10.167373647693255,-70.56313993174061,1.06%,8.81712085484882
309,Tilaknagar Industries,467.00,"₹9,185Cr",26.02%,33.05,62.97,14.34,10.41,0.21%,0.05,30.2401632089765,119.3108577094695,10.24%,10.513464329317454
310,RHI Magnesita India Ltd.,487.80,"₹9,089Cr",5.06%,55.09,60.37,7.99,2.27,0.57%,0.10,14.522797993719724,-42.99363057324841,5.78%,7.909429280397022
311,Medplus Health Services,749.80,"₹9,087Cr",8.64%,50.97,96.82,14.88,5.22,0.00%,0.64,3.5299994449686483,46.112311015118784,7.36%,10.630997694740792
312,Jai Balaji Industries,98.94,"₹9,008Cr",26.26%,21.47,34.57,4.60,4.24,0.00%,0.26,-20.54398148148148,-66.21492194234268,5.20%,8.182811361981063
313,Saregama India,471.45,"₹8,990Cr",12.90%,44.07,18.53,10.57,6.11,0.97%,0.00,3.44958507349351,7.799517555615107,22.68%,28.490536360299906
314,Avanti Feeds,644.80,"₹8,966Cr",18.88%,15.49,51.73,42.49,3.20,1.37%,0.01,-1.3117283950617282,45.635301299380835,13.52%,17.502736512900704
315,Oswal Pumps,750.70,"₹8,846Cr",60.69%,29.03,36.11,26.74,6.54,0.00%,0.72,24.861645644295866,20.01945209920572,16.69%,25.052309492204195
316,Happy Forgings,950.45,"₹8,837Cr",14.46%,32.82,36.23,28.55,4.78,0.32%,0.12,4.30212241858333,2.8656435953648582,18.57%,24.975971440340523
317,TTK Prestige,636.40,"₹8,817Cr",8.25%,90.61,69.18,7.02,4.70,0.93%,0.07,3.419908127085051,-25.01600853788687,6.11%,8.395399503470639
318,Alok Industries,17.48,"₹8,788Cr",4.41%,-11.27,32.97,-1.57,0.00,0.00%,-1.26,-8.554853945274402,-10.647562148751962,-22.85%,-2.7138093259827314
319,Latent View Analytics,422.15,"₹8,760Cr",11.61%,47.06,24.66,9.01,5.84,0.00%,0.02,23.37253254934902,21.707929673484035,35.38%,39.06382978723404
320,Valor Estate,159.53,"₹8,757Cr",-3.48%,-88.26,40.56,-1.84,1.79,0.00%,0.39,-45.703125,-64.9746192893401,0.00%,-43.7410071942446
321,Kirloskar Ferrous Industries,531.25,"₹8,744Cr",8.56%,27.37,34.57,19.39,2.55,1.04%,0.37,8.706786171574905,26.73018393542412,5.68%,9.681389870435805
322,KPI Green Energy,432.00,"₹8,741Cr",12.25%,24.45,23.28,18.12,3.61,0.18%,0.57,26.908647834033417,37.369122406244045,18.77%,33.33333333333333
323,Lloyds Engineering Works,61.06,"₹8,625Cr",15.92%,70.56,36.11,0.88,11.38,0.34%,0.13,33.37461751420662,-17.012252591894438,10.09%,16.8624023597531
324,PN Gadgil Jewellers,655.05,"₹8,618Cr",14.05%,34.16,62.01,18.59,5.55,0.00%,0.60,3.939393939393939,95.32549469457989,4.00%,6.411661807580174
325,PC Jeweller,12.93,"₹8,601Cr",9.33%,14.70,62.01,0.89,1.48,0.00%,0.35,83.92324676211504,6.040051679586559,22.64%,25.418610695147457
326,Campus Activewear,278.00,"₹8,459Cr",16.02%,71.74,67.27,3.86,11.18,0.36%,0.31,2.3372287145242123,-12.529550827423167,6.47%,10.099882659340029
327,RateGain,717.85,"₹8,380Cr",12.42%,39.80,24.66,17.83,4.97,0.00%,0.01,18.50778150747634,26.293706293706276,30.68%,31.427835715205354
328,Dilip Buildcon,516.05,"₹8,357Cr",8.06%,11.14,24.73,46.19,1.53,0.17%,1.88,-14.044706874736399,158.89428149398606,2.52%,12.986751717369971
329,Archean Chemical Industries,656.75,"₹8,328Cr",10.22%,52.88,43.93,12.76,4.47,0.44%,0.13,30.466896459107396,6.995460173338837,18.61%,26.066220621032766
330,Religare Enterprises,249.95,"₹8,280Cr",4.98%,70.52,20.31,3.55,3.29,0.00%,0.09,-61.91646191646193,-61.17424242424242,"-2,563%",-142.25806451612902
331,Borosil Renewables,603.95,"₹8,244Cr",-6.97%,-118.56,63.70,-5.22,8.74,0.00%,0.25,38.2078559738134,7382.142857142859,10.28%,-75.53733199123691
332,Rashtriya Chemical,148.32,"₹8,212Cr",5.11%,28.68,30.38,5.19,1.73,0.89%,0.58,-22.955264347040217,404.38024231127685,1.61%,3.8228739002932555
333,GMR Power and Urban Infra,112.00,"₹8,096Cr",-43.99%,43.90,24.73,2.58,15.59,0.00%,17.48,-30.498293515358366,-111.83701454527646,-37.45%,126.50756236495778
334,Network18 Media & Investments,51.95,"₹8,017Cr",-5.39%,-5.67,13.27,-9.17,1.69,0.00%,0.62,-3.540587219343678,-791.4534494306763,-14.02%,110.62628936203338
335,MOIL,377.00,"₹8,010Cr",14.47%,28.53,14.40,13.80,3.04,1.43%,0.00,-28.73381931488142,-66.18969478175255,14.80%,17.22444132570442
336,Maharashtra Seamless,584.95,"₹8,006Cr",12.26%,9.11,36.11,65.56,1.26,1.67%,0.00,7.154605263157894,72.01912467819054,20.46%,23.306983883346124
337,Happiest Minds Technologies,498.30,"₹7,978Cr",11.73%,41.81,24.66,12.53,5.07,1.13%,0.79,8.174633044787349,-7.436131386861325,10.08%,18.175492310903905
338,KRBL,347.75,"₹7,930Cr",9.08%,14.68,51.73,23.60,1.51,1.01%,0.08,32.432432432432435,74.10920869967607,9.50%,12.547928262213977
339,Prism Johnson,155.13,"₹7,910Cr",-4.25%,87.79,44.37,1.79,5.35,0.00%,1.02,8.136004857316333,-1870.2127659574471,0.49%,2.969679955081415
340,Gujarat Pipavav Port,162.91,"₹7,880Cr",16.98%,20.12,28.48,8.10,3.37,5.03%,0.03,1.1660500056060115,-3.7366207951070303,40.22%,50.58554065536222
341,Inox Green Energy Services,225.17,"₹7,880Cr",1.01%,206.44,43.22,1.04,4.34,0.00%,0.09,42.39462431276727,353.06122448979596,18.56%,22.72272272272272
342,South Indian Bank,31.14,"₹7,850Cr",13.17%,5.89,13.70,5.09,0.78,1.33%,NA,9.064327485380117,9.45840274708462,13.63%,14.508713136729224
343,GSFC,196.02,"₹7,832Cr",4.77%,12.62,31.58,15.57,0.65,2.54%,0.00,0.8207934336525308,51.15500863557858,6.45%,8.734961555857078
344,Diamond Power Infrastructure,143.44,"₹7,794Cr",-3.93%,205.42,45.52,0.72,0.00,0.00%,-0.53,35.70631057121166,15.760869565217412,6.31%,7.4343447640360685
345,Mahindra Lifespace Developers,361.35,"₹7,778Cr",3.23%,77.93,31.18,4.68,2.29,0.56%,0.76,-70.9621396318166,42.4,-132.47%,-51.26452494873547
346,Triveni Engg,354.60,"₹7,757Cr",7.82%,35.87,20.63,9.88,2.49,0.71%,0.63,23.116883116883116,-98.5098801425332,0.02%,1.6993670886075947
347,Arvind,297.10,"₹7,727Cr",9.34%,21.03,32.97,14.02,2.04,1.27%,0.41,7.109283196239718,44.826720241084885,3.18%,6.449259462424574
348,Strides Pharma Science,831.85,"₹7,683Cr",13.75%,22.49,34.33,37.06,3.01,0.48%,0.74,-15.766615042758058,456.25,2.68%,9.362884208001919
349,Redtape,137.50,"₹7,654Cr",21.55%,43.00,96.82,3.22,9.70,1.63%,0.92,6.580729636987546,28.84300229432973,8.49%,13.93742983626697
350,FDC,455.55,"₹7,579Cr",11.70%,28.16,34.33,16.53,3.32,1.07%,0.01,3.9215686274509864,6.261414036003134,19.02%,23.90428843288536
351,Sharda Cropchem,829.20,"₹7,571Cr",12.17%,18.03,34.13,46.54,3.03,1.07%,0.00,27.29920066561674,539.8085585585585,13.77%,16.353874883286647
352,Welspun Enterprises,535.95,"₹7,571Cr",12.70%,24.01,24.73,22.78,2.98,0.54%,0.59,-18.117528854080803,-2.4288766445519068,14.37%,19.198640804190855
353,Yatharth Hospital,760.40,"₹7,531Cr",8.13%,52.95,65.48,14.76,4.69,0.00%,0.01,13.00271403898347,17.14902807775379,20.84%,27.387190684133916
354,Aarti Pharmalabs Ltd.,829.75,"₹7,520Cr",13.69%,28.22,34.33,29.40,3.78,0.60%,0.21,-4.724469160768452,8.655070004242678,13.65%,19.622721604627095
355,Keystone Realtors Ltd,617.80,"₹7,514Cr",6.20%,46.77,40.56,12.74,2.75,0.25%,0.34,-28.721663940172938,-42.00426439232409,19.87%,13.66393442622951
356,PNC Infratech,292.10,"₹7,470Cr",12.89%,20.45,36.14,14.24,1.36,0.21%,0.08,-34.56930975470622,-80.81882732907455,7.11%,11.435919790758499
357,Garware Technical Fibres,749.80,"₹7,446Cr",18.65%,31.31,32.97,23.96,6.00,0.20%,0.05,-1.6053730854287809,-2.1291696238467046,15.85%,20.613779516634757
358,Marksans Pharma,165.04,"₹7,434Cr",15.43%,21.22,34.33,7.73,3.01,0.49%,0.13,22.483630272575,50.09369144284821,15.03%,19.851432833965312
359,Shilpa Medicare,367.85,"₹7,386Cr",3.77%,66.49,34.33,5.68,3.11,0.13%,0.25,-13.566499372647426,-25.753228120516496,26.17%,15.441843585556162
360,RattanIndia Enterprises,52.27,"₹7,377Cr",9.16%,-27.94,20.31,-1.91,8.00,0.00%,1.00,-40.304178814382894,-40.440741985192744,83.69%,99.49208002995425
361,Thomas Cook India,157.07,"₹7,377Cr",11.26%,29.39,43.22,5.33,4.34,0.29%,0.21,11.243389590344375,13.81147540983607,6.79%,9.605477146333975
362,Mishra Dhatu Nigam,388.95,"₹7,361Cr",7.83%,62.07,52.85,6.33,5.20,0.38%,0.25,3.732040649456848,150.48923679060667,7.59%,14.171499352513935
363,Ajax Engineering,631.55,"₹7,339Cr",22.48%,29.84,38.56,21.50,6.34,0.00%,0.00,-0.5500550055005453,-21.062845200776227,11.33%,14.82092168976457
364,Sheela Foam,667.95,"₹7,312Cr",2.63%,127.15,69.18,5.29,2.41,0.00%,0.48,33.569064952254884,-24.8284466625078,3.46%,7.7706050567683125
365,GNFC,496.80,"₹7,291Cr",6.96%,12.97,43.93,38.25,0.85,3.63%,0.01,-17.40566037735849,-32.17391304347826,4.87%,6.110793832095945
366,Aditya Vision,562.15,"₹7,275Cr",18.07%,67.63,99.22,8.36,12.46,0.19%,0.82,5.782404599869731,3.918613413715144,5.87%,8.730824353734274
367,Tips Music,557.65,"₹7,264Cr",79.49%,43.02,20.96,13.21,34.67,1.23%,0.02,19.42427716214495,5.234159779614327,52.05%,65.68899317406144
368,Balu Forge Industries,637.30,"₹7,201Cr",19.36%,31.75,36.23,20.23,7.12,0.02%,0.04,22.45128039942019,41.47963424771405,22.69%,32.40825989740892
369,Arvind Fashions,526.95,"₹7,133Cr",-3.72%,-293.63,54.78,-1.82,7.45,0.30%,1.21,-13.294344197988742,431.554524361949,-19.38%,-17.109484247758495
370,JK Paper,414.00,"₹7,122Cr",7.58%,20.27,18.60,20.74,1.33,1.19%,0.35,-8.620689655172415,-33.46781588116633,5.33%,11.537010159651668
371,Just Dial,822.85,"₹7,056Cr",12.68%,11.71,113.83,70.86,1.53,0.00%,0.02,14.557113461262377,13.050559410848328,45.42%,42.198922260746066
372,Ganesh Housing,846.50,"₹7,051Cr",29.08%,12.21,40.56,69.23,3.84,0.59%,0.01,-96.98825204699182,-117.66401084929647,-255.39%,-312.2931442080378
373,Jayaswal Neco Industries,74.24,"₹7,045Cr",4.74%,29.73,23.36,2.44,2.97,0.00%,1.15,14.701803051317613,-393.6237373737373,5.64%,14.798669891172914
374,Mahindra Holi.&Resor,344.10,"₹7,019Cr",16.35%,54.20,57.58,6.41,0.00,0.00%,4.01,6.801570993835663,68.65044247787611,20.68%,28.228045394768884
375,Akums Drugs & Pharmaceuticals,439.95,"₹6,949Cr",11.10%,20.35,34.33,21.70,2.28,0.00%,0.03,5.106853782099814,7.139446036294162,13.50%,17.290858725761773
376,EPL,214.91,"₹6,875Cr",15.25%,17.41,21.60,12.34,2.92,2.32%,0.34,-2.2050400916380264,-18.134715025906736,9.46%,11.888726207906295
377,Tamilnad Mercantile Bank,434.65,"₹6,787Cr",12.87%,5.66,14.52,75.79,0.73,0.02%,NA,6.732673267326733,6.126213930175072,21.99%,24.979591836734695
378,Fischer Medical Ventures,101.23,"₹6,777Cr",0.44%,1045.00,54.78,0.10,21.81,0.00%,0.25,376.7857142857142,-172.61904761904762,-13.44%,20.411985018726593
379,CSB Bank,385.60,"₹6,728Cr",13.86%,11.23,14.52,34.53,1.56,0.00%,NA,28.087649402390436,4.659371690787153,11.39%,12.404354587869364
380,Ahluwalia Contracts (India),978.10,"₹6,675Cr",11.24%,30.01,40.56,33.20,3.71,0.06%,0.04,9.769602098631374,67.02614379084967,5.09%,7.972575905974535
381,Piccadily Agro Industries,664.45,"₹6,670Cr",15.05%,61.96,62.97,10.93,13.43,0.00%,0.45,9.894736842105265,32.23776223776223,8.30%,14.764019505398815
382,Equitas Small Finance Bank,57.68,"₹6,614Cr",-1.69%,-64.43,14.52,-0.90,1.09,1.72%,NA,13.508771929824562,-968.6335403726707,-13.57%,-15.32612055641422
383,Karnataka Bank,174.30,"₹6,601Cr",10.05%,5.67,13.70,30.81,0.57,2.86%,NA,2.4638247946812672,-26.96025778732546,12.93%,13.60648854961832
384,V-Mart Retail,820.00,"₹6,549Cr",2.67%,97.39,99.22,8.47,8.08,0.00%,0.97,12.321681505463369,176.77100494233937,3.80%,6.8884760457129985
385,Ujjivan Fin-Amalgama,589.50,"₹7,190Cr",22.92%,8.76,19.59,67.40,1.98,0.85%,9.56,91.28440366972475,190.32258064516128,0.00%,85.61151079136691
386,ISGEC Heavy Engineering,883.60,"₹6,486Cr",12.45%,24.81,24.73,35.55,2.37,0.57%,0.31,-15.929203539823009,-2.158192090395476,8.80%,11.427751196172249
387,Ellenbarrie Industrial Gases,435.90,"₹6,480Cr",16.88%,77.80,47.96,5.91,7.45,0.00%,0.50,213.98819854217285,1062.1118012422362,22.37%,35.861154101260226
388,Tata Coffee,344.80,"₹6,440Cr",9.68%,35.84,67.15,9.62,3.47,0.87%,0.57,-1.6565494039347521,-77.25531173807035,13.22%,16.632580969025394
389,Shree Renuka Sugars,30.74,"₹6,417Cr",17.89%,-16.12,20.63,-1.87,0.00,0.00%,-3.51,-34.30431802604524,59.097633136094686,-11.32%,-6.296296296296297
390,Hindustan Foods,535.10,"₹6,416Cr",12.31%,56.23,51.73,9.55,6.67,0.00%,1.01,14.684652520140935,51.4456630109671,4.14%,7.161516492738322
391,Sunteck Realty,442.15,"₹6,401Cr",4.61%,39.76,40.56,10.99,1.96,0.34%,0.12,-81.28929776954134,-110.95661846496105,-3.75%,15.72338167668907
392,Praj Industries,356.45,"₹6,379Cr",15.84%,45.54,36.11,7.62,4.62,1.73%,0.14,-14.746116014721682,-78.26655052264807,3.91%,5.365704571068366
393,Suprajit Engineering,449.70,"₹6,372Cr",7.75%,58.32,39.18,7.88,4.98,0.65%,0.64,5.529507695443887,-3.4104272834182705,12.64%,17.539962331578693
394,Symphony,901.25,"₹6,339Cr",32.52%,37.95,69.18,24.22,8.33,1.41%,0.19,-34.46475195822455,-46.3768115942029,14.51%,19.52191235059761
395,Puravankara,264.15,"₹6,328Cr",-11.14%,-25.13,67.36,-10.62,4.25,0.00%,1.38,-56.55668225912787,351.92307692307696,-54.02%,-15.934383581442408
396,Juniper Hotels,278.35,"₹6,328Cr",2.61%,92.34,57.58,3.08,2.32,0.00%,0.53,11.15473052548931,-27.10027100271003,10.49%,20.25227043390515
397,Bajaj Electricals,537.20,"₹6,270Cr",6.86%,59.01,69.18,9.21,3.63,0.55%,0.14,-6.089193825042882,-94.16577730345072,0.71%,1.810958904109589
398,Greenlam Industries,248.07,"₹6,268Cr",6.18%,184.70,58.70,1.33,5.56,0.16%,1.06,6.490389158744243,6.371071889797678,4.43%,7.819959888539837
399,Surya Roshni,290.60,"₹6,262Cr",14.06%,21.77,36.11,13.22,2.54,1.91%,0.01,-14.939505523408734,-63.64029866897521,2.09%,3.1385281385281383
400,Inox Leisure,508.85,"₹6,214Cr",-1.80%,0.00,18.53,-4.24,8.75,0.00%,4.29,72.99243429784975,2985.4961832061067,-11.77%,14.054437688220512
401,Pricol,526.65,"₹6,175Cr",16.44%,36.03,39.18,14.06,6.08,0.00%,0.18,11.71487333507443,7.609890109890119,5.89%,8.364869011265178
402,Ashapura Minechem,628.85,"₹6,165Cr",23.82%,17.81,10.60,36.23,4.96,0.15%,0.94,37.56899147014551,24.27022518765638,28.11%,38.93498677851737
403,RattanIndia Power,11.24,"₹6,117Cr",4.84%,51.77,23.28,0.22,1.33,0.00%,0.79,-9.353801169590646,-115.95454048737844,-1.78%,14.361902304226746
404,HG Infra Engineering (Part IX),919.70,"₹6,105Cr",17.14%,13.82,24.73,67.78,2.07,0.21%,1.41,13.452617627567925,-10.08313028522287,7.34%,11.976051401869158
405,CMS Info Systems,360.05,"₹6,090Cr",16.43%,16.23,43.22,22.82,2.69,2.56%,0.08,6.001920614596671,2.760473922071566,14.45%,19.623534148673812
406,Fedbank Financial Services Ltd,161.57,"₹6,076Cr",8.84%,26.44,25.96,6.15,2.38,0.00%,4.10,5.981791889855191,6.806208173145381,14.43%,61.17303405334768
407,Chemplast Sanmar,371.45,"₹6,033Cr",-5.34%,-30.41,43.93,-12.55,54.49,0.00%,0.89,-11.233644197014284,937.2262773722626,-5.74%,-2.3628809970838494
408,VIP Industries,429.80,"₹6,021Cr",-11.16%,-70.07,48.92,-6.05,9.77,0.00%,1.22,-11.419864030632187,-624.2696629213483,-3.25%,-2.7135749320724094
409,Rallis India,305.65,"₹6,000Cr",6.57%,34.90,37.81,8.84,3.15,0.81%,0.03,22.96954314720812,97.91666666666666,9.93%,13.725490196078432
410,Blue Pearl Agriventures,97.40,"₹5,986Cr",1.07%,9935.00,74.37,0.01,99.01,0.00%,0.00,91.39610389610388,8.000000000000007,2.29%,2.9686174724342664
411,Laxmi Organic Industries,208.71,"₹5,935Cr",5.95%,58.99,43.93,3.63,3.11,0.23%,0.14,-7.151864035087728,-50.399481753401,3.42%,3.3229015972365743
412,Ion Exchange (India),399.55,"₹5,921Cr",17.20%,28.00,24.73,14.42,4.90,0.37%,0.27,1.6322439098199415,2.2910757145974348,9.05%,12.040569461245
413,Man InfraConstruction,147.09,"₹5,900Cr",16.03%,22.62,31.18,6.46,2.83,0.57%,0.02,20.62993394554535,59.55497382198952,61.27%,50.35726210350584
414,GHCL,610.70,"₹5,882Cr",17.89%,9.52,43.93,64.29,1.68,1.95%,0.03,-3.0012018947517163,-3.832613749584862,18.19%,24.006608437906195
415,Sterlite Technologies,119.45,"₹5,880Cr",-3.62%,-86.69,45.52,-1.39,2.96,0.00%,0.97,4.693140794223827,-103.50877192982458,0.37%,6.379310344827586
416,Skipper,515.05,"₹5,874Cr",12.52%,36.21,58.39,14.37,4.92,0.02%,0.62,14.794520547945206,41.373852484963585,3.56%,8.968973747016706
417,Optiemus Infracom,647.80,"₹5,854Cr",9.52%,89.07,54.78,7.45,8.62,0.00%,0.30,5.909626719056982,-38.043478260869556,2.12%,2.8344587074274687
418,Supriya Lifescience,717.50,"₹5,851Cr",18.86%,32.85,39.58,22.13,5.87,0.14%,0.01,-9.278477126189737,-22.06541218637993,23.98%,32.43535941518885
419,Cupid,214.98,"₹5,841Cr",11.96%,122.91,54.34,1.77,23.75,0.00%,0.06,47.069513857337554,81.84019370460048,25.12%,31.170837194933583
420,Electrosteel Castings,93.71,"₹5,837Cr",12.27%,10.20,36.23,9.26,1.01,1.48%,0.37,-22.960561858454888,-59.480079118395025,6.14%,10.488779803646562
421,Paras Defence,710.80,"₹5,828Cr",9.92%,91.78,52.85,7.88,9.74,0.07%,0.04,13.97319170460293,-2.7725267800882136,17.65%,23.25529790302896
422,Gokul Agro Resources,390.50,"₹5,822Cr",23.71%,22.03,32.46,17.91,5.62,0.00%,0.53,16.086193936356803,51.952662721893496,1.39%,2.5570904381610187
423,Shoppers Stop,521.05,"₹5,781Cr",3.39%,324.07,96.82,1.62,18.00,0.00%,10.32,6.460945033751206,-20.524211461572637,-1.63%,4.348731884057971
424,India Tourism Development Corp,643.70,"₹5,776Cr",22.42%,72.56,57.58,9.28,15.88,0.43%,0.00,5.5352659210225905,-16.118421052631586,11.93%,14.361414512814966
425,Senco Gold,347.65,"₹5,768Cr",8.09%,27.12,62.01,12.99,2.93,0.28%,1.05,29.081990189208128,94.07574053243343,5.67%,9.903365906623234
426,Sterling,238.28,"₹5,651Cr",8.09%,51.71,24.73,4.68,5.61,0.00%,0.93,52.13587675500362,6.576980568011963,5.75%,9.314866760168304
427,India Glycols,901.25,"₹5,632Cr",10.24%,23.10,62.97,39.37,2.50,0.55%,0.84,9.584245076586432,13.07231493367565,2.11%,4.585063897763578
428,AGI Greenpac,864.35,"₹5,627Cr",15.37%,16.17,21.60,53.80,2.68,0.80%,0.26,25.084122524022618,40.51874110390637,12.92%,18.700427089688837
429,Infibeam Avenues,18.14,"₹5,604Cr",6.04%,22.24,24.66,0.78,1.28,0.00%,0.05,74.26733380986418,20.49089906232763,3.65%,5.082854799015587
430,Avantel,207.34,"₹5,600Cr",23.79%,107.28,52.85,1.97,17.60,0.09%,0.11,-0.11549566891242015,-42.82178217821782,8.91%,14.453651956060899
431,MAS Financial Services,309.25,"₹5,588Cr",11.90%,17.23,20.31,17.87,2.14,0.55%,3.51,27.950292650578096,19.125372710492684,18.92%,71.79620073461479
432,TVS Supply Chain Solutions,126.01,"₹5,588Cr",-0.75%,111.10,45.96,1.14,3.10,0.00%,1.16,0.6704632658831119,-62.0253164556962,0.71%,2.83049147442327
433,Texmaco Rail & Engineering,142.34,"₹5,577Cr",8.91%,25.43,36.11,5.49,2.05,0.54%,0.34,-10.381448239804817,-41.56521739130435,2.92%,7.863680007778602
434,eMudhra,660.00,"₹5,525Cr",11.36%,60.27,24.66,11.07,7.41,0.19%,0.00,37.09409812751838,176.30331753554503,10.50%,14.00414937759336
435,KNR Constructions,194.95,"₹5,521Cr",24.53%,5.79,24.73,33.88,1.22,0.13%,0.41,-43.868501189179575,-61.69243408768392,10.61%,14.328990614976439
436,Prime Focus,184.09,"₹5,481Cr",-5.39%,-27.99,18.53,-6.26,7.21,0.00%,6.43,-53.658536585365844,-102.42059542122885,-76.87%,-34.81781376518218
437,Bansal Wire Industries,339.50,"₹5,409Cr",11.40%,35.18,34.57,9.82,4.26,0.00%,0.48,34.70486700205066,16.640986132511557,3.33%,5.707119936039953
438,Rajesh Exports,181.57,"₹5,408Cr",0.61%,73.55,62.01,2.49,0.34,0.00%,0.06,93.61971793004882,28.738147337709684,1.24%,4.110027855153203
439,Electronics Mart India,140.71,"₹5,348Cr",10.48%,51.29,96.82,2.71,3.49,0.00%,1.29,-9.745982374287196,-71.8538741549662,1.54%,3.810453762205629
440,Indo Count Industries,263.85,"₹5,259Cr",10.80%,25.53,32.97,10.40,2.31,0.75%,0.64,-18.789669989312287,-49.05779688883267,5.49%,10.231652454173101
441,Gokaldas Exports,730.80,"₹5,252Cr",7.62%,30.39,35.80,23.60,2.52,0.14%,0.41,15.325954106488112,31.496710526315795,7.52%,10.42481416246231
442,Ashoka Buildcon,187.04,"₹5,209Cr",43.27%,2.96,24.73,62.74,1.33,0.00%,0.51,-29.56338769068911,-25.024485798237027,2.34%,9.513069454817028
443,Datamatics Global Services,870.35,"₹5,162Cr",13.13%,24.36,24.66,35.81,3.78,0.57%,0.14,-6.828528072837637,152.79383429672444,8.17%,10.996501387380867
444,KRN Heat Exch Refrig,844.35,"₹5,136Cr",10.60%,96.30,58.39,8.58,10.30,0.00%,0.07,18.65883306320908,34.90971625107479,13.72%,18.43093733993512
445,Jana Small Finance Bank,480.70,"₹5,098Cr",10.51%,11.78,14.52,41.12,1.24,0.00%,NA,11.799410029498524,-40.23803939962477,8.15%,6.7236147757255935
446,Moschip Technologies,280.82,"₹5,095Cr",10.20%,126.29,24.66,2.10,15.57,0.00%,0.06,88.70839305621914,186.20689655172416,8.46%,9.123132753818888
447,SeQuent Scientific,202.60,"₹5,086Cr",3.16%,171.27,34.33,1.18,7.22,0.00%,0.68,-23.295869216172832,-25.111111111111107,10.35%,11.15128449096099
448,Hindustan Construction Company,27.37,"₹5,045Cr",0.82%,30.47,24.73,0.91,5.57,0.00%,1.85,-15.241057542768274,69.58241758241758,3.61%,15.531192660550458
449,R Systems International,418.55,"₹5,013Cr",21.02%,25.94,24.66,16.32,8.03,2.95%,0.12,24.152422515860515,65.35087719298247,26.19%,29.09451894284598
