,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
67,L&T Finance,259.28,"₹64,984Cr",10.34%,24.43,20.31,10.64,2.54,1.06%,3.61,12.52973830293418,2.234431155364413,16.31%,60.34766267324407
68,Patanjali Foods,597.25,"₹64,960Cr",11.44%,53.32,51.73,11.20,5.71,0.56%,0.07,23.757289641766178,-31.384556865728413,2.03%,3.0556490519465953
69,JSW Infrastructure,307.55,"₹64,859Cr",15.50%,40.64,28.48,7.60,6.68,0.26%,0.52,-16.12132877102937,-25.056502979247995,52.08%,64.50091361067437
70,Jindal Stainless,758.00,"₹62,742Cr",15.01%,24.40,34.57,31.19,3.76,0.39%,0.38,8.284085018144117,10.948955595518042,6.21%,9.21543469934891
71,Berger Paints India,536.10,"₹62,031Cr",19.18%,54.35,53.19,9.79,10.08,0.71%,0.11,2.373361671980163,-3.849175176747837,11.22%,14.088235294117645
72,HDB Financial Services,741.40,"₹61,915Cr",13.75%,28.45,20.31,26.23,3.38,0.39%,5.52,14.958805355303811,-2.4067388688327314,12.71%,55.3639417693169
73,Fert & Chem Travan,895.25,"₹58,178Cr",1.63%,615.82,30.38,1.46,42.44,0.04%,1.32,68.21826896488155,-108.79391822477913,0.41%,6.284931506849315
74,IndusInd Bank,749.00,"₹57,597Cr",1.57%,57.09,13.70,12.95,0.89,0.00%,NA,-3.789698425406992,-68.20399628252788,5.58%,6.341054091539529
75,UPL,679.85,"₹57,446Cr",3.97%,48.14,34.13,14.15,1.97,0.83%,0.86,117.61786600496278,100.0,7.35%,8.779931584948688
76,Bank Of India,126.24,"₹57,318Cr",13.59%,6.04,13.70,20.84,0.79,3.22%,NA,12.489035087719298,32.237228420434526,12.27%,14.19729018422848
77,AU Small Finance Bank,764.00,"₹56,947Cr",12.82%,26.08,14.52,29.27,3.34,0.13%,NA,21.294997662459092,15.577929442664706,13.27%,15.010792060127192
78,IRCTC,716.90,"₹56,808Cr",35.89%,42.47,43.28,16.72,15.51,1.13%,0.02,4.362703165098375,7.400546021840867,28.49%,36.57868852459016
79,MO Financial,937.40,"₹56,097Cr",22.58%,20.16,19.98,46.33,5.06,0.53%,1.33,0.2612671456564337,2.6108754338603863,35.38%,52.84755700325733
80,Nippon Life India AMC,875.05,"₹55,573Cr",30.53%,41.16,20.31,21.21,13.18,2.06%,0.02,19.46375202800786,21.680773117736244,68.37%,73.20305352241539
81,Steel Authority of India,132.88,"₹54,750Cr",4.03%,18.03,34.57,7.35,0.93,1.21%,0.63,7.785767418794942,6318.352059925095,2.64%,5.689747718733226
82,IDFC First Bank,71.99,"₹52,178Cr",3.37%,40.17,13.70,1.77,1.35,0.35%,NA,14.03727901614143,-32.03996180121942,4.80%,4.888785912882298
83,Kalyan Jewellers India,487.70,"₹50,110Cr",14.88%,62.54,62.01,7.76,10.43,0.31%,1.03,31.451612903225808,55.35768368768551,4.18%,6.72650952534711
84,Federal Bank,199.17,"₹47,602Cr",11.72%,11.75,13.70,16.47,1.38,0.62%,NA,7.645597571073696,-14.678217821782177,12.89%,14.820512820512821
85,Laurus Labs,863.40,"₹46,608Cr",8.01%,91.56,34.33,9.43,10.42,0.14%,0.62,29.129662522202487,448.7838776928422,11.02%,17.560522696011006
86,Biocon,347.80,"₹46,426Cr",4.68%,120.57,34.33,2.88,1.78,0.13%,0.85,8.307692307692303,-1022.2222222222223,-1.55%,8.121657754010696
87,HUDCO,231.43,"₹46,214Cr",15.08%,16.62,20.31,13.89,2.57,1.80%,5.97,34.04642694583523,12.995069475571498,21.46%,96.23089983022072
88,ITC Hotels,218.91,"₹44,872Cr",5.93%,65.89,57.58,3.27,4.20,0.00%,0.01,19.840115166087255,47.32854472104693,20.31%,26.013392628942395
89,Bank of Maharashtra,57.21,"₹43,965Cr",21.45%,7.64,13.70,7.48,1.64,2.62%,NA,16.398286305214953,23.201856148491878,22.58%,21.614418073359566
90,Indian Ren. Energy,152.44,"₹42,462Cr",16.55%,27.19,20.31,5.56,3.46,0.00%,6.31,29.71542025148908,-35.71019025280167,12.76%,77.70408163265307
91,Hexaware Technologies Limited,693.15,"₹42,457Cr",22.89%,31.95,24.66,21.82,7.31,1.25%,0.10,25.157232704402517,74.42849548112707,18.05%,19.77889447236181
